id,Equipment Type,Model,Working Radius,Max. Hoisting Capacity,Max. Free Standing Height,Max. Jib Length,Max. Tip Load,Tip Load,Maximum FSH [L69],Maximum FSH [RB],Maximum Working Radius,Maximum FSH [L68],Maximum FSH [RA],Max. free standing height_2,Max. boom length,Max. hoisting capacity at jib end,Capacity,Speed,Cage Size
90,Topless Hydraulic Luffing Jib Crane,RL205-10/12,55m,,,,,,,62.85m,,49.65m,,,,,10/12t,,
91,Topless Hydraulic Luffing Jib Crane,RL165-10,50m,,,,,,,,,46.65m,41.25m,,,,10t,,
92,Luffing-jib Tower Crane,L900-50W,,,,,,,,,,,,68.55m,66m,10.6t,,,
93,Luffing-jib Tower Crane,L760-50VD,,,,,,,,,,,,51.45m,60m,11.8t,,,
94,Luffing-jib Tower Crane,L630-50X,,,,,,,,,,,,51.65m,60m,9.5t,,,
95,Luffing-jib Tower Crane,L500A-50U,,,,,,,,,,,,51.65m,60m,5.0t,,,
96,Luffing-jib Tower Crane,L500A-32U,,,,,,,,,,,,51.65m,60m,6.3t,,,
97,Luffing-jib Tower Crane,L400-25U,,,,,,,,,,,,51.65m,60m,4.71t,,,
98,Luffing-jib Tower Crane,L250-20RA,,,,,,,,,,,,45.75m,60m,4.32t,,,
99,Luffing-jib Tower Crane,L250-16RA,,,,,,,,,,,,45.75m,60m,3t,,,
100,Luffing-jib Tower Crane,L200-16RB,,,,,,,,,,,,57.15m,55m,2.2t,,,
101,Luffing-jib Tower Crane,L200-12RB,,,,,,,,,,,,57.15m,55m,2.2t,,,
102,Luffing-jib Tower Crane,L200-10RB,,,,,,,,,,,,57.15m,55m,2.4t,,,
103,Luffing-jib Tower Crane,L125-10RA,,,,,,,,,,,,35.65m,50m,1.5t,,,
104,Luffing-jib Tower Crane,L125-8RA,,,,,,,,,,,,35.65m,50m,1.5t,,,
105,Construction Hoist,SC200 General Hoist,,,,,,,,,,,,,,,2000kg/cage,50~80m/min,3.2×1.5×2.2/2.5m
106,Construction Hoist,SC120 Material Hoist,,,,,,,,,,,,,,,1200kg/cage,30m/min,3.0×1.5×2.1m
107,Construction Hoist,SCQ200 Inclined Hoist,,,,,,,,,,,,,,,,,
108,Flat-top Tower Crane,R370-20RB,,,,,,,,,,,,64.3m,80m,2.5t,,,
109,Flat-top Tower Crane,R370-16RB,,,,,,,,,,,,64.3m,80m,2.5t,,,
110,Flat-top Tower Crane,R335-20RB,,,,,,,,,,,,70m,75m,3t,,,
111,Flat-top Tower Crane,R335-16RB,,,,,,,,,,,,70m,75m,3t,,,
112,Flat-top Tower Crane,R275-12RB,,,,,,,,,,,,70m,70m,2.7t,,,
113,Flat-top Tower Crane,R275-10RB,,,,,,,,,,,,70m,70m,2.7t,,,
114,Flat-top Tower Crane,R245-12RB,,,,,,,,,,,,70m,70m,2.0t,,,
115,Flat-top Tower Crane,R245-10RB,,,,,,,,,,,,70m,70m,2.0t,,,
116,Flat-top Tower Crane,R165-10RA,,,,,,,,,,,,49.9m,65m,1.7t,,,
117,Flat-top Tower Crane,R165-8RA,,,,,,,,,,,,49.9m,65m,1.7t,,,
118,Flat-top Tower Crane,R135-10RA,,,,,,,,,,,,58.5m,60m,1.7t,,,
119,Flat-top Tower Crane,R135-8RA,,,,,,,,,,,,58.5m,60m,1.7t,,,
120,Flat-top Tower Crane,R100-8RA,,,,,,,,,,,,58.5m,60m,1.3t,,,
121,Flat-top Tower Crane,R100-6RA,,,,,,,,,,,,58.5m,60m,1.3t,,,
122,Flat-top Tower Crane,R90-6RE,,,,,,,,,,,,44.2m,50m,1.5t,,,
123,Flat-top Tower Crane,R90-5RE,,,,,,,,,,,,44.2m,50m,1.5t,,,
124,Flat-top Tower Crane,WA350-16/20,,16/20t,62m,80m,,2.2t,,,,,,,,,,,
125,Flat-top Tower Crane,WA7527-16/20,,16/20t,60m,75m,,2.7t,,,,,,,,,,,
126,Flat-top Tower Crane,WA7025-10/12,,10/12t,60m,70m,,2.5t,,,,,,,,,,,
127,Flat-top Tower Crane,WA7020-10,,10t,60m,70m,,2t,,,,,,,,,,,
128,Flat-top Tower Crane,WA7015-10,,10t,60m,70m,,1.5t,,,,,,,,,,,
129,Flat-top Tower Crane,WA6515-8/10,,8/10t,60m,65m,,1.5t,,,,,,,,,,,
130,Flat-top Tower Crane,WA6513-6/8,,6/8t,51m,65m,,1.3t,,,,,,,,,,,
131,Flat-top Tower Crane,WA6017-8/10,,8/10t,60m,60m,,1.7t,,,,,,,,,,,
132,Flat-top Tower Crane,WA6015-8,,8t,40m,60m,,1.5t,,,,,,,,,,,
133,Flat-top Tower Crane,WA6013-6/8,,6/8t,40m,60m,,1.3t,,,,,,,,,,,
134,Flat-top Tower Crane,WA6010-6,,6t,40m,60m,,1t,,,,,,,,,,,
135,Flat-top Tower Crane,WA5610-6,,6t,45m,56m,,1t,,,,,,,,,,,
136,Flat-top Tower Crane,W5013-5,,5t,48.5m,50m,,1.3t,,,,,,,,,,,
