Category,Specification,Cseries_CX130C,Cseries_CX210C,Cseries_CX220C,Cseries_CX250C,Cseries_CX300C,Cseries_CX370C,Cseries_CX490C
PERFORMANCE,Drawbar pull (kN),,,,,233,,
PERFORMANCE,Gradeability (%),,,,,70,,
PERFORMANCE,Type,,,,,SHORT/ STD/ LONG,,
PERFORMANCE,Bucket Capacity (m³),,,,,"1,4/ 1,3/ 1,2",,
PERFORMANCE,Arm length (m),,,,,"2,65/ 3,18/ 3,66",,
PERFORMANCE,Max digging height (m),,,,,"9,93/ 10,06/ 10,39",,
PERFORMANCE,Max dump height (m),,,,,"6,94/ 7,09/ 7,39",,
PERFORMANCE,Max reach (m),,,,,"10,04/ 10,50/ 10,99",,
PERFORMANCE,Max digging depth (m),,,,,"6,57/ 7,10/ 7,58",,
PERFORMANCE,Arm digging force (kN),,,,,153/ 132/ 119,,
PERFORMANCE,Bucket digging force (kN),,,,,190,,
TRANSPORT DIMENSIONS,Weight (kg),,,,,29400,,
TRANSPORT DIMENSIONS,Length (m),,,,,"10,48",,
TRANSPORT DIMENSIONS,Width (m),,,,,"3,20",,
TRANSPORT DIMENSIONS,Height (m),,,,,"3,46",,
,,,,,,,,
HYDRAULIC SYSTEM,Flow rate (l/min),,,,,,2 x 300,
HYDRAULIC SYSTEM,System pressure (bar),,,,,,343,
HYDRAULIC SYSTEM,Boost pressure (bar),,,,,,368,
PERFORMANCE,Swing speed (rpm),,,,,,10,
PERFORMANCE,Swing Torque (kN),,,,,,112,
PERFORMANCE,Travel speed (km/h),,,,,,0 - 3.4/0 - 5.4,
PERFORMANCE,Drawbar pull (kN),,,,,,264,
PERFORMANCE,Gradeability (%),,,,,,70,
PERFORMANCE,Type,,,,,,SHORT/ STD/ LONG,
PERFORMANCE,Bucket Capacity (m³),,,,,,"1.8*/ 1,6/ 1,4",
PERFORMANCE,Arm length (m),,,,,,"2,21/ 2,63/ 3,25",
PERFORMANCE,Max digging height (m),,,,,,"9,85/ 10,32/ 10,37",
PERFORMANCE,Max dump height (m),,,,,,"6,77/ 7,14/ 7,23",
PERFORMANCE,Max reach (m),,,,,,"9,99/ 10,47/ 10,98",
PERFORMANCE,Max digging depth (m),,,,,,"6,30/ 6,73/ 7,34",
PERFORMANCE,Arm digging force (kN),,,,,,248/ 213/ 179,
PERFORMANCE,Bucket digging force (kN),,,,,,232,
TRANSPORT DIMENSIONS,Weight (kg),,,,,,36700,
TRANSPORT DIMENSIONS,Length (m),,,,,,"11,35",
TRANSPORT DIMENSIONS,Width (m),,,,,,"3,20",
TRANSPORT DIMENSIONS,Height (m),,,,,,"3,65",
,,,,,,,,
HYDRAULIC SYSTEM,Flow rate (l/min),,,,,,,2 x 400
HYDRAULIC SYSTEM,System pressure (bar),,,,,,,314
HYDRAULIC SYSTEM,Boost pressure (bar),,,,,,,343
PERFORMANCE,Swing speed (rpm),,,,,,,9
PERFORMANCE,Swing Torque (kN),,,,,,,150
PERFORMANCE,Travel speed (km/h),,,,,,,0 - 3.2/ 0 - 5.3
PERFORMANCE,Drawbar pull (kN),,,,,,,339
PERFORMANCE,Gradeability (%),,,,,,,70
PERFORMANCE,Type,,,,,,,SHORT/ STD
PERFORMANCE,Bucket Capacity (m³),,,,,,,"2,0/ 1,8"
PERFORMANCE,Arm length (m),,,,,,,"2,53/ 3,38"
PERFORMANCE,Max digging height (m),,,,,,,"10,82/ 11,14"
PERFORMANCE,Max dump height (m),,,,,,,"7,42/ 7,74"
PERFORMANCE,Max reach (m),,,,,,,"10,99/ 11,77"
PERFORMANCE,Max digging depth (m),,,,,,,"6,87/ 7,72"
PERFORMANCE,Arm digging force (kN),,,,,,,281/ 229
PERFORMANCE,Bucket digging force (kN),,,,,,,266
TRANSPORT DIMENSIONS,Weight (kg),,,,,,,48500
TRANSPORT DIMENSIONS,Length (m),,,,,,,"12,11"
TRANSPORT DIMENSIONS,Width (m),,,,,,,"3,56"
TRANSPORT DIMENSIONS,Height (m),,,,,,,"3,65"
