id,product_model_name,product_display_name,image_url,product_page_url,operating_weight_kg,max_digging_reach_mm,engine_rated_power_kw,max_digging_depth_mm
1,ZX210LC-7H-SLF,ZX210LC-7H SLF,https://hitachikenki.scene7.com/is/image/hitachikenki/HCMA_210SLF_Featured-1,https://www.hitachicm.com/us/en/products/excavators/special-applications/slf/product.zx210lc-7h-slf/,"54,900lbs (24,900kg)",50ft 9in (15.46m),172HP (128.4kW),39ft 2in (11.94m)
2,ZX250LC-7-SLF,ZX250LC-7 SLF,https://hitachikenki.scene7.com/is/image/hitachikenki/coming_soon,https://www.hitachicm.com/us/en/products/excavators/special-applications/slf/product.zx250lc-7-slf/,"64,600lbs (29,300kg)",59ft 8in (18.19m),188HP (140kW),47ft 4in (14.43m)
3,ZX350LC-7-SLF,ZX350LC-7 SLF,https://hitachikenki.scene7.com/is/image/hitachikenki/SLF_ZX350LC-7_900x580-1,https://www.hitachicm.com/us/en/products/excavators/special-applications/slf/product.zx350lc-7-slf/,"84,900lbs (38,500kg)",71ft 11in (21.92m),282HP (210kW),57ft (17.38m)
