id,Equipment Type,Model,Link,GROUND PRESSURE,ARM CROWD FORCE,DUMP HEIGHT,MAXIMUM TRACTION FORCE,BUCKET BREAKOUT FORCE (ISO),NET POWER,FULL TURN TIPPING LOAD,MAX TRAVEL SPEED REVERSE,RATED PAYLOAD,BUCKET BREAKOUT FORCE ISO,HEAPED CAPACITY,ENGINE MODEL,BUCKET BREAKOUT FORCE,Machine Type,BUCKET CAPACITY (HEAPED),TRAVEL SPEED,BUCKET CAPACITY,TAIL SWING RADIUS,MAXIMUM TORQUE,OPERATING CAPACITY,MAX. DIGGING REACH,BOOM BREAKOUT FORCE,"CONFIGURATION: LIFT PATH: (VERTICAL/RADIAL), UNDERCARRAIGE (TIRES, TRACKS)",MAXIMUM GRADE,MAX TRAVEL SPEED FORWARD,SWING SPEED,"CONFIGURATION: COMPACT, CRAWLER, WHEELED, SPECIALITY",DUMP CLEARANCE WITH BUCKET (STANDARD Z-BAR),MAX HINGE PIN HEIGHT,Impact Power Range,TRAVEL SPEED FORWARD,ARM CROWD FORCE (ISO),ARM CROWD FORCE ISO,MAX. DIGGING DEPTH,"CONFIGURATION: ZBAR, TOOL MASTER, EXTENDED BOOM","CONFIGURATIONS: ZBAR, TOOL MASTER, EXTENDED BOOM",BLADE DIGGING DEPTH,MAX TRAVEL SPEED,OPERATING WEIGHT,TRAVEL SPEED REVERSE,Breaker Operating Weight Range,Blow Rate Range
43,Z-Bar & XT Wheel Loaders,HL930A XT,https://na.hd-hyundaice.com/equipment/z-bar-xt-wheel-loaders/hl930a-xt,,,,,,"130 hp @ 2,200 rpm","15,653 lb.",,,,,Cummins / B4.5,"19,996 lb.",,2.49 yd³,,,,"467 lb·ft @ 1,200 rpm",,,,,,,,,"9' 11.5""",,,24.9 mph,,,,EXTENDED BOOM,,,,"25,794 lb.",15.5 mph,,
44,Z-Bar & XT Wheel Loaders,HL940A XT,https://na.hd-hyundaice.com/equipment/z-bar-xt-wheel-loaders/hl940a-xt,,,,,,"156 hp @2,200 rpm","15,543 lb.",,,,,Cummins / B6.7,"26,323 lb.",,3.01 yd³,,,,"550 lb ft @ 1,300 rpm",,,,,,,,,"11' 0.7""",,,24.9 mph,,,,EXTENDED BOOM,,,,"30,560 lb.",16.2 mph,,
45,Z-Bar & XT Wheel Loaders,HL955A,https://na.hd-hyundaice.com/equipment/z-bar-xt-wheel-loaders/hl955a,,,,,,"197 hp @ 2,200 rpm","22,946 lb.",,,,,Cummins / B6.7,"31,680 lb.",,3.66 yd³,,,,"730 lb.ft @ 1,300 RPM",,,,,,,,,"9' 1.6""",,,24.9 mph,,,,ZBAR,,,,"35,490 lb.",15.5 mph,,
46,Z-Bar & XT Wheel Loaders,HL955A HD,https://na.hd-hyundaice.com/equipment/z-bar-xt-wheel-loaders/hl955a-hd,,,,,,"197 hp@ 2,200 rpm","17,968 lb.",,,,,Cummins / B6.7,"32,055 lb.",,3.66 yd³,,,,"730 lb.ft @ 1,300 RPM",,,,,,,,,"9' 1.6""",,,24.9 mph,,,,ZBAR,,,,"36,350 lb.",15.5 mph,,
47,Z-Bar & XT Wheel Loaders,HL955A HDXT,https://na.hd-hyundaice.com/equipment/z-bar-xt-wheel-loaders/hl955a-hdxt,,,,,,"197 hp@ 2,200 rpm","17,968 lb.",,,,,Cummins / B6.7,"32,055 lb.",,3.66 yd³,,,,"730 lb.ft @ 1,300 RPM",,,,,,,,,"11' 0.3""",,,24.9 mph,,,,EXTENDED BOOM,,,,"36,755 lb.",15.5 mph,,
48,Z-Bar & XT Wheel Loaders,HL955A XT,https://na.hd-hyundaice.com/equipment/z-bar-xt-wheel-loaders/hl955a-xt,,,,,,"197 hp@ 2,200 rpm","17,968 lb.",,,,,Cummins / B6.7,"32,055 lb.",,3.66 yd³,,,,"730 lb.ft @ 1,300 RPM",,,,,,,,,"11' 0.3""",,,24.9 mph,,,,EXTENDED BOOM,,,,"36,354 lb.",15.5 mph,,
49,Z-Bar & XT Wheel Loaders,HL960A,https://na.hd-hyundaice.com/equipment/z-bar-xt-wheel-loaders/hl960a,,,,,,"222 hp @ 2,200 rpm","30,230 lb.",,,,,Cummins / B6.7,"36,751 lb.",,4.32 yd³,,,,"875 lb·ft @ 1,300 rpm",,,,,,,,,"9' 7.6""",,,24.9 mph,,,,ZBAR,,,,"43,720 lb.",16.0 mph,,
50,Z-Bar & XT Wheel Loaders,HL960A HD,https://na.hd-hyundaice.com/equipment/z-bar-xt-wheel-loaders/hl960a-hd,,,,,,"222 hp @ 2,200 rpm","31,747 lb.",,,,,Cummins / B6.7,"36,222 lb.",,4.32 yd³,,,,"875 lb·ft @ 1,300 rpm",,,,,,,,,"9' 7.6""",,,24.9 mph,,,,ZBAR,,,,"42,880 lb.",18.6 mph,,
51,Z-Bar & XT Wheel Loaders,HL960A HDXT,https://na.hd-hyundaice.com/equipment/z-bar-xt-wheel-loaders/hl960a-hdxt,,,,,,"222 hp @ 2,200 rpm","28,770 lb.",,,,,Cummins / B6.7,"36,222 lb.",,4.32 yd³,,,,"875 lb·ft @ 1,300 rpm",,,,,,,,,"11' 0.5""",,,24.9 mph,,,,EXTENDED BOOM,,,,"44,710 lb.",16.0 mph,,
52,Z-Bar & XT Wheel Loaders,HL960A XT,https://na.hd-hyundaice.com/equipment/z-bar-xt-wheel-loaders/hl960a-xt,,,,,,"222 hp @ 2,200 rpm","24,493 lb.",,,,,Cummins / B6.7,"36,222 lb.",,4.32 yd³,,,,"875 lb·ft @ 1,300 rpm",,,,,,,,,"9' 7.6""",,,24.9 mph,,,,EXTENDED BOOM,,,,"44,159 lb.",16.0 mph,,
53,Home,HL965,https://na.hd-hyundaice.com/hl965a,,,,,,"269 hp @ 2,100 rpm","30,810 lb.",,,,,Cummins QSL9,"38,360 lb.",,4.71 yd³,,,,"1,287 lb.ft @ 1,400 rpm",,,,,,,,,"9' 8.3""",,,24.9 mph,,,,ZBAR,,,,"45,702 lb.",17.4 mph,,
