id,Equipment Type,Model,Max. Weighted Lift Capacity,Max. Main Boom Load Moment,Max. Liftig Height of Lib,Max. Basic Boom Load Moment,Max. Lifting Capacity,Max. Lifting Moment,Jib Length
98,Truck Crane,ZTC550A562,,,,,,,
99,Truck Crane,ZTC1100V7,,,,,,,
100,Truck Crane,ZTC800V663,,,,,,,
101,Truck Crane,ZTC800H563,,,,,,,
102,Truck Crane,ZTC800A763,,,,,,,
103,Truck Crane,ZTC800A562,,,,,,,
104,Truck Crane,ZTC1000V563,,,,,,,
105,Truck Crane,ZTC500A562,,,,,,,
106,Truck Crane,ZTC160A461,,,,,,,
107,Truck Crane,ZTF250V42,,,,,,,
108,Truck Crane,ZTC300V562,,,,,,,
109,Truck Crane,ZTC300V562,,,,,,,
110,Truck Crane,ZTC950V763,,,,,,,
111,Truck Crane,ZTC950A663,,,,,,,
112,Crawler Crane,ZCC550V,,,,,55t,209t*m,
113,Loader Crane,14 tons Zoomlion Loader Crane,,,,,,,
114,Loader Crane,ZLT2000V5 Loader crane,,,,,,,
115,Loader Crane,ZLT2000V4 Loader crane,,,,,,,
116,Loader Crane,ZLT1750V4 Loader crane,,,,,,,
117,Loader Crane,ZLT1250V4 Loader crane,,,,,,,
118,Loader Crane,ZLT2500V5 Loader crane,,,,,,,
119,Loader Crane,ZLT3000V4 Loader crane,,,,,,,
120,Loader Crane,ZLT3000V5 Loader crane,,,,,,,
121,Loader Crane,ZLT3500V5 Loader crane,,,,,,,
122,Loader Crane,ZLT4000V5 Loader crane,,,,,,,
123,Loader Crane,ZLT5500H5 Loader crane,,,,,,,
