model,series,category,equipment_type,operating_weight_with_tops_canopy_and_bucket_(iso_6016)_kg,transport_mass_(no_attachment)_kg,ground_pressure_with_rubber_tracks_kpa,bucket_pivot_angle_°,maximum_reach_of_working_equipment_mm,maximum_reach_at_ground_level_mm,maximum_working_equipment_radius_with_boom_at_maximum_height_and_dipperstick_fully_retracted_mm,maximum_blade_height_mm,maximum_blade_depth_mm,maximum_height_of_working_equipment_with_dipperstick_retracted_mm,maximum_bucket_tooth_height_mm,maximum_dump_height_mm,maximum_depth_of_vertical_wall_which_can_be_excavated_mm,maximum_digging_depth_mm,blade_height_mm,"clearance,_upper_structure_to_ground_line_mm",ground_line_to_top_of_engine_cover_mm,length_of_track_on_ground_mm,machine_centre_line_to_blade_mm,minimum_radius_in_travel_position_mm,overall_length_of_track_assembly_mm,overall_length_in_travel_position_mm,track_lug_height_mm,blade_width_mm,blade_width_(extensions_extended)_mm,height_mm,height_(folded)_mm,track_width_mm,"machine_centre_line_to_working_equipment_centre_line,_left_hand_rotation_mm","machine_centre_line_to_working_equipment_centre_line,_right_hand_rotation_mm",minimum_turning_radius_mm,"swing_clearance,_rear_mm",working_width_at_maximum_right_hand_rotation_mm,working_width_at_maximum_left_hand_rotation_mm,make_/_model,fuel,number_of_cylinders,displacement_l,maximum_power_@_2000_rpm_(iso_14396)_kw,maximum_torque_(sae)_nm,pump_type,pump_capacity_l_per_min,auxiliary_flow_l_per_min,auxiliary_relief,"digging_force,_dipperstick_(iso 6015)_n","digging_force,_bucket_(iso 6015)_n",drawbar_pull_n,"travel_speed,_low_range_km_per_h","boom_swing,_left_°","boom_swing,_right_°",slew_rate_rpm,cooling_system_l,engine_lubrication_plus_oil_filter_l,fuel_reservoir_l,hydraulic_reservoir_l,hydraulic_system_l,noise_level_lpa(eu_directive_2006/42/ec)_db(a),noise_level_lwa(eu_directive_2000/14/ec)_db(a),operating_weight_with_40cm_bucket_(iso_6016)_kg,ground_pressure_kpa,hieght_to_seat_mm,voltage,maximum_power_@_3000_rpm_kw,maximum_torque_@_2400_rpm_nm,capacity,"travel_speed,_high_range_km_per_h",whole_body_vibration_(iso_2631–1)_ms2,hand_arm_vibration_(iso_5349–1)_ms2,displacement_cm3,total_hydraulic_capacity_l_per_min,operating_weight_with_canopy_and_bucket_(iso_6016)_kg,additional_weight_for_cab_with_heating_kg,additional_weight_for_long_dozer_blade_kg,maximum_blade_height_with_long_blade_mm,maximum_blade_depth_with_long_blade_mm,maximum_power_@_2200_rpm_(iso_14396)_kw,maximum_torque_@_1600_rpm_(sae_j1995)_nm,pump_capacity_@_2200_rpm_l_per_min,maximum_power_@_2400_rpm_(iso_14396)_kw,maximum_torque_@_1800_rpm_(sae_j1995)_nm,piston_pump_capacity_l_per_min,operating_weight_with_cab_and_bucket_(iso_6016)_kg,weight_reduction_with_canopy_kg,additional_weight_for_long_dipperstick_kg,additional_weight_for_counter_weight_kg,"maximum_reach_of_working_equipment,_long_dipperstick_mm","maximum_reach_at_ground_level,_long_dipperstick_mm","maximum_working_equipment_radius_with_boom_at_maximum_height_and_dipperstick_fully_retracted,_long_dipperstick_mm","maximum_bucket_tooth_height,_long_dipperstick_mm","maximum_dump_height,_long_dipperstick_mm","maximum_depth_of_vertical_wall_which_can_be_excavated,_long_dipperstick_mm","maximum_digging_depth,_long_dipperstick_mm","overall_length_in_travel_position,_long_dipperstick_mm",(*_dentoes_values_which_long_dipperstick_installed),auxiliary_(aux1)_flow_l_per_min,auxiliary_(aux2)_flow_l_per_min,auxiliary_(aux1)_relief_bar,auxiliary_(aux2)_relief_bar,"digging_force,_long_dipperstick_(iso 6015)_n",maximum_power_@_2700_rpm_kw,maximum_torque_@_2700_rpm_nm,additional_weight_for_cab_with_hvac_kg,additional_weight_for_steel_tracks_kg,additional_weight_for_heavy_counterweight:_kg,ground_clearance_mm,overall_length_in_travel_position_with_heavy_counterweight_mm,"swing_clearance,_rear_with_heavy_counterweight_mm",working_width_at_maximum_left_hand_rotation_with_heavy_counterweight_mm,additional_weight_for_heavy_counterweight_kg,"swing_clearance,_rear_(zero_tail_swing),_long_dipperstick_mm",additional_weight_for_long_dipperstick_(with_heavy_ctw.)_kg,"swing_clearance,_rear,_long_dipperstick_(with_heavy_counterweight)_mm",operating_weight_kg,operating_weight_with_canopy_kg,maximum_net_power_(iso_9249)_kw,maximum_net_torque_(iso_9249)_nm,boom_port_relief_base_and_rod_end,additional_weight_for_angle_blade_kg,"swing_clearance,_rear_heavy_counterweight_mm",system_relief_pressure_for_implement_circuits_bar,maximum_height_of_working_equipment_with_dipperstick_extended_mm,wheel_base_mm,overall_lenght_in_transport_position_mm,overall_lenght_in_travel_position_over_blade_mm,"machine_width_(blade),_single_tyres_mm","machine_width,_double_tyres_mm",height_over_cab_mm,"track_width,_single_tyres_mm",track_width_double_tyres_mm,"height_in_travel_position_,_single_tyres_mm","height_in_travel_position,_double_tyres_mm",additional_weight_for_segmented_tracks_kg,"swing_clearance,_rear_with_add_on_counterweight_mm",system_relief_pressure_for_slew_circuit_bar,maximum_digging_depth_blade_down_mm,"maximum_digging_depth_blade_down,_long_dipperstick_mm"
E20zE3 V Excavator,R2-Series,1 2t mini excavators,Mini Excavator,,1863.00,30.50,196.00,4161.00,4112.00,1588.00,298.00,256.00,2589.00,3602.00,2588.00,1898.00,2364.00,246.00,442.00,1150.00,1258.00,1254.00,2907.00,1651.00,3708.00,22.00,980.00,1360.00,2329.00,,230.00,476.00,638.00,1199.00,690.00,1532.00,1396.00,Yanmar / 3TNV70-SBC1 (Stage V),Diesel,3,,,,"Single outlet variable displacement, load sensing torque pump",44.00,,,12630.00,18330.00,23734.00,2.00,80.00,60.00,9.70,,,21.20,14.30,,78.00,93.00,,,,,,,,4.00,0.23,0.49,854.00,,,,,,,10.10,49.80,,,,,1980.00,,4.00,,4334.00,4287.00,1608.00,3730.00,2715.00,2076.00,2544.00,,,30.00,12.00,180.00,179.00,11510.00,,,-83.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E26E3 V Excavator,R2-Series,2 3t mini excavators,Mini Excavator,,2477.00,30.30,185.00,4542.00,4413.00,2052.00,385.00,420.00,3104.00,4006.00,2845.00,1474.00,2568.00,319.00,539.00,1540.00,1543.00,1462.00,3192.00,1965.00,4174.00,21.00,1500.00,,2438.00,,250.00,580.00,705.00,1755.00,820.00,1741.00,1616.00,Yanmar / 3TNV76-PBC (Stage V),Diesel,3,,,,Dual outlet variable displacement piston pump with gear pumps,,,,15690.00,23720.00,29080.00,2.50,60.00,60.00,9.30,,,34.40,10.20,,80.00,93.00,,,,,,,,4.30,0.11,0.50,1116.00,94.25,,,,,,,,,14.90,66.30,67.50,2608.00,-118.00,,,,,,,,,,,,53.75,20.00,180.00,179.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base Model E26,R2-Series,2 3t mini excavators,Mini Excavator,,2549.00,26.20,185.00,4721.00,4604.00,1924.00,346.00,302.00,3240.00,4429.00,3243.00,1825.00,2847.00,319.00,539.00,1540.00,1543.00,1245.00,3135.00,1965.00,4079.00,21.00,1550.00,,2438.00,,300.00,393.00,576.00,1575.00,995.00,1808.00,1731.00,Kubota / D1305-E4B-BCZ-1 (Stage V),Diesel,3,,,81.30,Dual outlet variable displacement piston pump with gear pumps,,,,16030.00,26520.00,28949.00,3.00,70.00,55.00,9.30,,,34.40,10.20,,78.00,93.00,,,,,,,,5.10,0.13,0.44,1261.00,94.30,,,,385.00,420.00,,,,18.20,,,2683.00,-118.00,,,,,,,,,,,,54.00,20.00,180.00,179.00,,,,,130.00,147.00,1462.00,4190.00,1055.00,1791.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E27zE3 V Excavator,R2-Series,2 3t mini excavators,Mini Excavator,,2571.00,25.00,185.00,4644.00,4518.00,2131.00,385.00,420.00,3247.00,4230.00,3043.00,1567.00,2547.00,319.00,539.00,1540.00,1543.00,1462.00,3343.00,1965.00,4325.00,21.00,1550.00,,2438.00,,300.00,565.00,773.00,1726.00,785.00,1808.00,1599.00,Yanmar / 3TNV76-PBC (Stage V),Diesel,3,,,,Dual outlet variable displacement piston pump with gear pumps,,,,16200.00,23720.00,29023.00,2.50,70.00,55.00,9.30,,,34.40,10.20,,79.00,93.00,,,,,,,,4.30,0.18,0.51,1116.00,94.25,,,,,,,,,14.90,66.30,67.50,2705.00,-118.00,14.00,,4931.00,4814.00,2135.00,4430.00,3243.00,1818.00,2847.00,,,53.75,20.00,180.00,179.00,13470.00,,,,130.00,,,,,,91.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
E34E2 V Excavator,R2-Series,3 4t mini excavators,Mini Excavator,,3312.00,33.60,185.00,5101.00,4980.00,2017.00,382.00,456.00,3708.00,4804.00,3340.00,2136.00,3117.00,322.00,540.00,1557.00,1542.00,1528.00,3787.00,1970.00,4661.00,25.00,1550.00,,2468.00,,300.00,371.00,554.00,1623.00,1125.00,1982.00,1855.00,Kubota / D1703-E4B (Stage V),Diesel,3,,,97.40,"Single outlet variable displacement, load sensing torque pump with gear pumps",,,,20790.00,33430.00,34132.00,2.60,75.00,55.00,8.60,,,52.00,8.30,,77.00,94.00,,,,,,,,4.70,0.11,0.34,1642.00,101.20,,,,,,18.20,,,,,,3476.00,-118.00,12.00,,5383.00,5270.00,2077.00,4985.00,3521.00,2414.00,3417.00,4761.00,,64.00,20.00,206.00,179.00,18010.00,,,19.00,94.00,,,,,,291.00,1215.00,,,,,,,,,,,,,,,,,,,,,,,,,,
E35zE2 V Excavator,R2-Series,3 4t mini excavators,Mini Excavator,,3335.00,31.84,185.00,5351.00,5230.00,2267.00,382.00,456.00,3708.00,4804.00,3340.00,2136.00,3117.00,322.00,540.00,1557.00,1647.00,1528.00,3787.00,2074.00,4823.00,25.00,1750.00,,2468.00,,300.00,575.00,795.00,1788.00,875.00,1841.00,1805.00,Kubota / D1703-E4B (Stage V),Diesel,3,,,97.40,"Single outlet variable displacement, load sensing torque. Pump with gear pumps",,,,20790.00,33430.00,34132.00,2.60,75.00,55.00,8.60,,,52.00,8.30,,77.00,94.00,,,,,,,,4.70,0.11,0.34,1642.00,101.20,,,,,,18.20,,,,,,3499.00,-118.00,,,5633.00,5520.00,2324.00,4985.00,3521.00,2414.00,3417.00,4832.00,,64.00,20.00,206.00,179.00,18010.00,,,19.00,130.00,,,,,,,,303.00,965.00,,,,,,,,,,,,,,,,,,,,,,,,
E50zE2 V Excavator,R2-Series,4 6t mini excavators,Mini Excavator,,,35.41,186.00,6056.00,5922.00,2593.00,370.00,502.00,,5499.00,4015.00,2462.00,3553.00,373.00,608.00,1640.00,1803.00,1692.00,4250.00,2276.00,5395.00,25.00,1959.00,,2546.00,,350.00,527.00,872.00,2075.00,1035.00,2016.00,2006.00,"Bobcat 1.8L, 97/68 EC Stage V Turbocharged",Diesel,3,1.79,,,Single outlet variable displacement piston pump with gear pumps,,,210.0 bar,22171.00,37744.00,,2.80,75.00,50.00,8.70,7.60,6.30,72.00,15.10,,75.00,95.00,,,,,,,,5.50,0.14,0.37,,,,,,,,,,,,,99.00,,,,,,,,,,,,,,78.20,46.60,,,,,,19.00,125.00,,,,,,,,,,4900.00,4819.00,31.30,155.00,290.0 - 290.0 bar,,,,,,,,,,,,,,,,,,,
E55zE2 V Excavator,R2-Series,4 6t mini excavators,Mini Excavator,,,30.00,186.00,5983.00,5843.00,2541.00,390.00,547.00,4272.00,5513.00,3558.00,2485.00,3434.00,422.00,627.00,1659.00,2004.00,1784.00,4300.00,2523.00,5561.00,24.00,1959.00,,2566.00,,400.00,586.00,872.00,2027.00,1000.00,1976.00,1881.00,"Bobcat 1.8L, 97/68 EC Stage V",Diesel,3,1.79,,,Single outlet variable displacement piston pump with gear pumps,,,,30993.00,44297.00,,2.90,75.00,50.00,9.30,7.60,6.30,72.00,15.10,,,,,,,,,,,4.60,,,,,,,176.00,,,,,,,,138.60,,,,,6361.00,6232.00,2638.00,5768.00,4213.00,2878.00,3834.00,5558.00,,80.50,45.40,,,26301.00,,,19.00,125.00,,,,,,,,,,5271.00,,36.40,180.00,290.0 - 290.0 bar,176.00,1071.00,250.00,,,,,,,,,,,,,,,,
E57WE2 V Wheeled Excavator,R2-Series,4 6t mini excavators,Mini Excavator,,,,180.00,6108.00,5888.00,2448.00,421.00,202.00,,5976.00,4324.00,2805.00,3495.00,500.00,980.00,1941.00,,1678.00,,,,,,,,,,,,1980.00,1650.00,,,"Bobcat 2.4L, 97/68 EC Stage V, Turbocharged",Diesel,4,,,,Split engine-driven axial piston pump and two engine-driven gear pumps,180.30,52.50,,27459.00,41188.00,32362.00,10.00,80.00,50.00,8.90,10.80,9.20,118.00,95.00,148.00,74.00,98.00,,,,,,,,30.00,0.56,0.54,2392.00,,,,,,,,,,,,,,,23.00,,6400.00,6190.00,2464.00,6170.00,4510.00,3115.00,3795.00,,,,,,,24517.00,,,,,,,,,,,,,,6312.00,,42.50,202.00,,,,,4692.00,2100.00,5971.00,6120.00,1947.00,2290.00,2861.00,1600.00,1780.00,3633.00,3638.00,,,,,
E60 E2 V Excavator,R2-Series,4 6t mini excavators,Mini Excavator,,,31.70,186.00,5958.00,5822.00,2436.00,390.00,547.00,4390.00,5630.00,4076.00,2561.00,3537.00,422.00,637.00,1849.00,2004.00,1784.00,4278.00,2523.00,5543.00,24.00,1959.00,,2551.00,,400.00,473.00,730.00,1965.00,1265.00,2245.00,2227.00,"Bobcat 2.4L, 97/68 EC Stage V",Diesel,4,,,,Single outlet variable displacement piston pump with gear pumps,138.50,,,33472.00,47841.00,,2.90,75.00,50.00,8.90,9.50,9.80,72.00,15.10,60.00,77.00,97.00,,,,,,,,4.90,0.35,0.94,2392.00,,,,,,,,,,,,,,,21.00,239.00,6336.00,6209.00,2533.00,5885.00,4331.00,2941.00,3937.00,5541.00,,85.70,45.40,,,28405.00,,,19.00,125.00,,,,,,,,,,6130.00,,41.00,190.00,,,,,,,,,,,,,,,,243.00,1335.00,250.00,,
E88 EMEA R2 EXCAVATOR,R2-Series,6 10t mini excavators,Mini Excavator,,,39.20,170.00,7225.00,7087.00,2659.00,479.00,410.00,4983.00,6887.00,4537.00,2587.00,4519.00,462.00,710.00,1666.00,2311.00,2009.00,4872.00,2896.00,6329.00,30.00,2200.00,,2550.00,,450.00,622.00,907.00,2202.00,348.00,2600.00,2525.00,"Bobcat D24 - 2.4L, 97/68 EC Stage V, Turbocharged",Ultra Low Sulfur Diesel,4,,,,"Engine driven, variable displacement piston pump with pressure-compensating, load-sensing, and torque-limiter control",149.00,,,39073.00,55582.00,,2.50,64.00,61.00,8.80,9.50,9.80,116.00,21.40,81.40,74.00,96.00,,,,,,,,4.20,0.20,0.41,2392.00,,,,,,,,,,,,,,,37.00,407.00,7549.00,7418.00,2964.00,7115.00,4765.00,2883.00,4859.00,6341.00,,95.00,62.00,,,35315.00,,,,16.00,,,,,,,468.00,,,8919.00,74.00,48.50,248.00,,,,295.00,,,,,,,,,,,,,,,4748.00,5088.00
