id,model_name,product_family,product_category,"Engine Power @ 1,600 rpm - ISO 14396:2002","Engine Power - 2,100 rpm ISO 14396:2002",Rated Speed,"Engine Power - 1,700 rpm ISO 14396:2002",Rated Gross Power - SAE J1995,Gross Power - SAE J1995:2014,Peak Power Speed,Operating Weight,Engine Model,Net Power - SAE J1349:2011,Operating Weight - Standard,Bucket Capacities,Net Power,Maximum Gross Power,Engine Power - ISO 14396:2002,"Engine Power - 1,600 rpm ISO 14396:2002",Operating Weight*,Peak Power Speed - Gross - SAE J1995,Bucket Capacity Range,Bucket Range,Net Power - ISO 9249,Operating Weight - Tier 4 Final*
177,930M Waste Handler,Wheel Loaders,Small Wheel Loaders,,,,,,,,37713 lb,,,,3.0-5 m3    (3.9-6.5 yd3),,168 hp,,,,,,,,
178,938M,Wheel Loaders,Small Wheel Loaders,,,,,,,,35778 lb,,,,2.5-5 m3    (3.2-6.5 yd3),,188 hp,,,,,,,,
179,938M Aggregate Handler,Wheel Loaders,Small Wheel Loaders,,,,,,,,36839 lb,,,,2.9-5 m3      (3.8-6.5 yd3),,188 hp,,,,,,,,
180,938M Waste Handler,Wheel Loaders,Small Wheel Loaders,,,,,,,,41794 lb,,,,3.0-5 m3     (3.9-6.5 yd3),,188 hp,,,,,,,,
181,950,Wheel Loaders,Medium Wheel Loaders,,253 hp (metric),,,,,,42461 lb,,,,,,,,,,,,,,
182,950 GC,Wheel Loaders,Medium Wheel Loaders,,,,,,,,41554 lb,,,,2.9-4.4 m³ (3.75-5.75 yd³),,,,,,,,,225 hp,
183,962,Wheel Loaders,Medium Wheel Loaders,,273 hp (metric),,,,,,44469 lb,,,,,,,,,,,,,,
184,966,Wheel Loaders,Medium Wheel Loaders,,,,,,,,51124 lb,,,,,,,,325 hp (metric),,,,,,
185,966 GC,Wheel Loaders,Medium Wheel Loaders,321 hp,,,,,,,,,,,3.2 - 7.1 m³ (4.25 - 9.25 yd³),,,,,48018 lb,,,,,
186,966 XE,Wheel Loaders,Medium Wheel Loaders,,,,,,,,51124 lb,,,,,,,,325 hp (metric),,,,,,
187,972,Wheel Loaders,Medium Wheel Loaders,,,,,,,,54858 lb,,,,,,,,344 hp (metric),,,,,,
188,980 XE,Wheel Loaders,Medium Wheel Loaders,,,,426 hp (metric),,,,66877 lb,,,,,,,,,,,,,,
189,972 XE,Wheel Loaders,Medium Wheel Loaders,,,,,,,,54858 lb,,,,,,,,344 hp (metric),,,,,,
190,980,Wheel Loaders,Medium Wheel Loaders,,,,426 hp (metric),,,,66877 lb,,,,,,,,,,,,,,
191,982,Wheel Loaders,Medium Wheel Loaders,,,,438 hp (metric),,,,78264 lb,,,,,,,,,,,,,,
192,982 XE,Wheel Loaders,Medium Wheel Loaders,,,,438 hp (metric),,,,78264 lb,,,,,,,,,,,,,,
193,986,Wheel Loaders,Large Wheel Loaders,,,,,,,1600,,C15 Cat®,,,,,,,,,456 hp,,,,
194,988,Wheel Loaders,Large Wheel Loaders,,,,,,588 hp,,,,538 hp,,,,,580 hp,,,,,,,
195,988 XE,Wheel Loaders,Large Wheel Loaders,,,,,,,,116362 lb,Cat® C18 ™,538 hp,,,,,,,,,,,,
196,988 GC,Wheel Loaders,Large Wheel Loaders,,,2000,,,,1600,,Cat® C15,,,,,,,,,,,,,
197,990,Wheel Loaders,Large Wheel Loaders,,,,,,,,,,,178517 lb,,,,786 hp,,,,8.6 m³ – 10.0 m³ (11.25 yd³ – 13.0 yd³),,,
198,992,Wheel Loaders,Large Wheel Loaders,,,,,,,,233430 lb,,,,11.5-24.5 m³ (15-32 yd³),814 hp,,,,,,,,,
199,993,Wheel Loaders,Large Wheel Loaders,,,,,,,,,Cat C32B,,,,,,,,,,,12.2-23.7 m3 (16.0-31 yd3),,294687 lb
200,995,Wheel Loaders,Large Wheel Loaders,,,,,,,,,Cat® 3516E,,543772 lb,,,,,,,,17.2-43.6 m3 (22.3-57 yd3),,,
