id,product_model_name,product_display_name,image_url,product_page_url,operating_weight_kg,max_digging_reach_mm,engine_rated_power_kw,max_digging_depth_mm
21,ZX345USLC-7H,ZX345USLC-7H,https://hitachikenki.scene7.com/is/image/hitachikenki/ZX345USLC-7H_Machine-PhotoOmiai_0008-e1704401489677,https://www.hitachicm.com/us/en/products/excavators/medium-large/product.zx345uslc-7h/,"79,366lb (36,000kg)",36ft 10in (11.22m),249HP (186kW),24ft 10in (7.57m)
22,ZX350LC-6,ZX350LC-6,https://hitachikenki.scene7.com/is/image/hitachikenki/ZX350LC-Front3qtrs-4612-with-trees_900x580,https://www.hitachicm.com/us/en/products/excavators/medium-large/product.zx350lc-6/,"80,028lbs (36,330kg)",38ft 10in (11.86m),270.9HP (202kW),26ft 9in (8.18m)
23,ZX350LC-7G-LA,"ZX350LC-7G, LA",https://hitachikenki.scene7.com/is/image/hitachikenki/ZX350-7G-_Machine-PhotoOmiai_0002_0004_900x580-1,https://www.hitachicm.com/us/en/products/excavators/medium-large/product.zx350lc-7g-la/,"71,871lbs - 74,515lbs (32,600kg - 33,800kg)",34ft (10.36m),254HP (190kW),22ft 5in (6.84m)
24,ZX350LCH-7G-LA,"ZX350LCH-7G, LA",https://hitachikenki.scene7.com/is/image/hitachikenki/ZX350-7G-_Machine-PhotoOmiai_0002_0004_900x580,https://www.hitachicm.com/us/en/products/excavators/medium-large/product.zx350lch-7g-la/,"74,957lbs - 76,721lbs (34,000kg - 34,800kg)",35ft 9in (10.89m),268HP (200kW),22ft (7.38m)
25,ZX350LC-7H,ZX350LC-7H,https://hitachikenki.scene7.com/is/image/hitachikenki/ZX350LC-7H_Omiai_02_20230922,https://www.hitachicm.com/us/en/products/excavators/medium-large/product.zx350lc-7h/,"80,248 lb (36,400 kg)",38ft 3in (11.67m),271HP (202kW),26ft 10in (8.18m)
26,ZX490LC-6,ZX490LC-6,https://hitachikenki.scene7.com/is/image/hitachikenki/ZX490LC-Front3qtrs-4647-in-trees_900x580,https://www.hitachicm.com/us/en/products/excavators/medium-large/product.zx490lc-6/,"109,790lbs (49,800kg)",41ft (12.49m),362.1HP (270kW),27ft (8.27m)
27,ZX490LC-7H,ZX490LC-7H,https://hitachikenki.scene7.com/is/image/hitachikenki/ZX490LC-7H_omiai015,https://www.hitachicm.com/us/en/products/excavators/medium-large/product.zx490lc-7h/,"108,026lb - 110,672lb (49,100kg - 50,200kg)",40ft 3in (12.28m),388HP (289kW),27ft 2in (8.27m)
28,ZX490LC-7G-LA,"ZX490LC-7G, LA",https://hitachikenki.scene7.com/is/image/hitachikenki/ZX490LC-7G_Machine-PhotoOmiai_0007_900x580-1,https://www.hitachicm.com/us/en/products/excavators/medium-large/product.zx490lc-7g-la/,"105,381lbs - 108,027lbs (47,800kg - 49,000kg)",33ft 10in (10.32m),396HP (295kW),19ft 8in (5.96m)
29,ZX490LCH-7G-LA,"ZX490LCH-7G, LA",https://hitachikenki.scene7.com/is/image/hitachikenki/ZX490LC-7G_Machine-PhotoOmiai_0007_900x580,https://www.hitachicm.com/us/en/products/excavators/medium-large/product.zx490lch-7g-la/,"103,617lbs - 107,145lbs (47,000kg - 48,600kg)",38ft 11in (11.86m),397HP (296kW),25ft 9in (7.86m)
30,ZX690LC-6,ZX690LC-6,https://hitachikenki.scene7.com/is/image/hitachikenki/coming_soon,https://www.hitachicm.com/us/en/products/excavators/medium-large/product.zx690lc-6/,"151,237lbs (68,600kg)",45ft 4in (13.85m),462.7HP (345kW),30ft (9.15m)
31,ZX690LC-7H,ZX690LC-7H,https://hitachikenki.scene7.com/is/image/hitachikenki/ZX690LC-7H_omiai003,https://www.hitachicm.com/us/en/products/excavators/medium-large/product.zx690lc-7h/,"152,340lbs - 152,780lbs (69,100kg - 69,300kg)",45ft 6in (13.88m),465HP (347kW),30ft 1in (9.18m)
32,ZX890LC-6,ZX890LC-6,https://hitachikenki.scene7.com/is/image/hitachikenki/ZX890LC-6_Carousel1_900x580,https://www.hitachicm.com/us/en/products/excavators/medium-large/product.zx890lc-6/,"186,511lbs (84,600kg)",48ft 10in (14.91m),512HP (382kW),31ft 4in (9.57m)
33,ZX890LC-7H,ZX890LC-7H,https://hitachikenki.scene7.com/is/image/hitachikenki/ZX890LC_7H_omiai027,https://www.hitachicm.com/us/en/products/excavators/medium-large/product.zx890lc-7h/,"188,936lb - 189,157lb (85,700kg - 85,800kg)",48ft (14.64m),510HP (380kW),31ft 5in (9.57m)
