id,model_name,product_family,product_category,Maximum Weight at Stick Nose,Maximum Pin Height at Stick Nose,Maximum Digging Depth,Net Power,Maximum Travel Speed,Operating Weight Maximum,Forward/Reverse - 2nd Gear,Operating Weight,Dig Depth,Engine Power - ISO 14396:2002,Net Power - ISO 9249
157,300.9D,Excavators,Mini Excavators,,,,13 hp,,,,2061 lb,68 in,,
158,300.9D VPS &amp; HPU300,Excavators,Mini Excavators,,,,13 hp,,,,2399 lb,68 in,,
159,301.5,Excavators,Mini Excavators,,,,21 hp,,,,3913 lb,100 in,,
160,301.7 CR,Excavators,Mini Excavators,,,,21 hp,,,,4222 lb,100 in,,
161,301.8,Excavators,Mini Excavators,,,,21 hp,,,,4473 lb,101.2 in,,
162,302 CR,Excavators,Mini Excavators,,,,21 hp,,,,4987 lb,101.2 in,,
163,302.7 CR,Excavators,Mini Excavators,,,,23.6 hp,,,,6725 lb,106.7 in,,
164,303 CR,Excavators,Mini Excavators,,,,23.6 hp,,,,7817 lb,116.1 in,,
165,303.5 CR,Excavators,Mini Excavators,,,,23.6 hp,,,,9239 lb,122.4 in,,
166,304,Excavators,Mini Excavators,,,,45 hp,,,,9867 lb,138.2 in,,
167,305 CR - Tier 4 / Stage V,Excavators,Mini Excavators,,,,45 hp,,,,12688 lb,144.5 in,,
168,306 CR,Excavators,Mini Excavators,,,,55.9 hp,,,,15766 lb,162 in,,
169,307.5 - Tier 4 / Stage V,Excavators,Mini Excavators,,,,54.8 hp,,,,17905 lb,182.8 in,,
170,308 CR,Excavators,Mini Excavators,,,,69.5 hp,,,,18493 lb,182.8 in,,
171,308 CR VAB,Excavators,Mini Excavators,,,,69.5 hp,,,,20385 lb,150.2 in,,
172,309 CR,Excavators,Mini Excavators,,,,69.5 hp,,,,21091 lb,182.8 in,,
173,309 CR VAB (Long Undercarriage),Excavators,Mini Excavators,,,,69.5 hp,,,,21477 lb,150.2 in,,
174,310 - Tier 4 / Stage V,Excavators,Mini Excavators,,,,69.5 hp,,,,23002 lb,205.2 in,,
175,313 GC - Tier 4 / Stage V,Excavators,Small Excavators,,,19.8 ft,,,,,30400 lb,,,73 hp
176,313,Excavators,Small Excavators,,,19.2 ft,,,,,30400 lb,,,108 hp
177,315 GC,Excavators,Small Excavators,,,19.7 ft,,,,,34000 lb,,,98 hp
178,315,Excavators,Small Excavators,,,19.7 ft,,,,,34000 lb,,,108 hp
179,317 GC,Excavators,Small Excavators,,,21 ft,,,,,38000 lb,,,119 hp
180,317,Excavators,Small Excavators,,,21 ft,,,,,40200 lb,,,133 hp
181,320 - Tier 4 / Stage V,Excavators,Medium Excavators,,,22 ft,,,,,49800 lb,,,172 hp
182,320 GC - Tier 4 / Stage V,Excavators,Medium Excavators,,,22 ft,,,,,48500 lb,,,146 hp
183,323 - Tier 4 / Stage V,Excavators,Medium Excavators,,,22.1 ft,,,,,55100 lb,,,172 hp
184,325 - Tier 4 / Stage V,Excavators,Medium Excavators,,,22 ft,,,,,62800 lb,,,172 hp
185,326 - Tier 4 / Stage V,Excavators,Medium Excavators,,,22.4 ft,,,,,56400 lb,,,201 hp
186,330 - Tier 4 / Stage V,Excavators,Medium Excavators,,,23.9 ft,,,,,69200 lb,,,273 hp
187,330 GC - Tier 4 / Stage V,Excavators,Medium Excavators,,,23.8 ft,,,,,68100 lb,,,201 hp
