id,product_model_name,product_display_name,image_url,product_page_url,bucket_capacity_m³_iso_heaped,operating_weight_kg,engine_rated_power_kw,breakout_force_kn
1,ZW30-5B,ZW30-5B,https://hitachikenki.scene7.com/is/image/hitachikenki/ZW30-5B_R9M0870-H_front,https://www.hitachicm.com/us/en/products/wheel-loaders/compact/product.zw30-5b/,0.52yd³ (0.4m³),"7,310lbs (3,315kg)",25HP (18.5kW),"4,630lbf (20.6kN)"
2,ZW50-5B,ZW50-5B,https://hitachikenki.scene7.com/is/image/hitachikenki/ZW50-5B_HCMA_front,https://www.hitachicm.com/us/en/products/wheel-loaders/compact/product.zw50-5b/,0.8yd³ (0.6m³),"9,350lbs (4,240kg)",44HP (32.8kW),"5,530lbf (24.6kN)"
3,ZW80-5B,ZW80-5B,https://hitachikenki.scene7.com/is/image/hitachikenki/ZW80-Working-1-1-e1645295211609-1,https://www.hitachicm.com/us/en/products/wheel-loaders/compact/product.zw80-5b/,1.2yd³ (0.9m³),"12,600lbs (5,715kg)",66HP (49kW),"8,270lbf (36.8kN)"
4,ZW100-6,ZW100-6,https://hitachikenki.scene7.com/is/image/hitachikenki/Hitachi-ZW100-Working-1961-1,https://www.hitachicm.com/us/en/products/wheel-loaders/compact/product.zw100-6/,1.7yd³ (1.3m³),"16,140lbs (7,320kg)",101HP (74kW),"13,730lbf (61kN)"
5,ZW120-6,ZW120-6,https://hitachikenki.scene7.com/is/image/hitachikenki/ZW120-6-1-1-e1645295675980,https://www.hitachicm.com/us/en/products/wheel-loaders/compact/product.zw120-6/,2yd³ (1.5m³),"18,590lbs (8,430kg)",101HP (74kW),"16,840lbf (75kN)"
