Category,Specification,621F,621XS,721F,821F,921F,1021F,1121F
Transport dimensions,Width (m),,,,,,"2,99",
Transport dimensions,Height (m),,,,,,"3,57",
,,,,,,,,
Transmission,Type,,,,,,,Powershift
Transmission,No. of speeds,,,,,,,F4 - R3
Axles,Type,,,,,,,Open diff 100% lock HD (opt)
Hydraulics,System type,,,,,,,Closed Centre
Hydraulics,Pump type,,,,,,,2 x piston pump
Hydraulics,Flow rate,,,,,,,380
Bucket,GET,,,,,,,Teeth / Edge
Bucket,GP/Flat bottom* (m³),,,,,,,4.8* / 5.0*
Bucket,Material density Max (kg/m³),,,,,,,1976
Machine weight,Typical weight (kg),,,,,,,27079
Machine weight,Tipping load (kg),,,,,,,21123
Machine weight,Tipping load at 40° (kg),,,,,,,17857
Loader performance,Payload capacity (kg),,,,,,,8900
Loader performance,Bucket breakout force (kN),,,,,,,240
Loader performance,Maximum lift height,,,,,,,"6,20"
Loader performance,Hinge pin height (m),,,,,,,"4,44"
Loader performance,Dump height (m),,,,,,,"3,09"
Loader performance,Bucket reach (m),,,,,,,"1,40"
Transport dimensions,Length (m),,,,,,,"9,83"
Transport dimensions,Width (m),,,,,,,"2,99"
Transport dimensions,Height (m),,,,,,,"3,57"
