id,equipment_name,model,spec_name,spec_value
121,Three-drum static roller  3Y263J,3Y263J,Operating weight(kg),23000
122,Three-drum static roller  3Y263J,3Y263J,Max. weight with Counterweight(kg),26000
123,Three-drum static roller  3Y263J,3Y263J,Static linear load(N/cm),1213
124,Three-drum static roller  3Y153J,3Y153J,Operating weight(kg),12000
125,Three-drum static roller  3Y153J,3Y153J,Max. weight with Counterweight(kg),15000
126,Three-drum static roller  3Y153J,3Y153J,Static linear load(N/cm),823
127,Three-drum static roller  3Y183J,3Y183J,Operating weight(kg),15000
128,Three-drum static roller  3Y183J,3Y183J,Max. weight with Counterweight(kg),18000
129,Three-drum static roller  3Y183J,3Y183J,Static linear load(N/cm),792
130,Three-drum static roller  3Y223J,3Y223J,Operating weight(kg),19000
131,Three-drum static roller  3Y223J,3Y223J,Max. weight with Counterweight(kg),22000
132,Three-drum static roller  3Y223J,3Y223J,Static linear load(N/cm),1002
133,Backfill Compactor XH233J,XH233J,Operating weight(kg),23000
134,Backfill Compactor XH233J,XH233J,"Axle load, front(kg)",11500
135,Backfill Compactor XH233J,XH233J,"Axle load, rear(kg)",11500
136,Backfill Compactor XH263J,XH263J,Operating weight(kg),26000
137,Backfill Compactor XH263J,XH263J,"Axle load, front(kg)",13000
138,Backfill Compactor XH263J,XH263J,"Axle load, rear(kg)",13000
139,Backfill Compactor XH283J,XH283J,Operating weight(kg),28000
140,Backfill Compactor XH283J,XH283J,"Axle load, front(kg)",14000
141,Backfill Compactor XH283J,XH283J,"Axle load, rear(kg)",14000
142,Light Weight Compactor XMR603,XMR603,Operating weight(kg),6000
143,Light Weight Compactor XMR603,XMR603,"Axle load, front(kg)",3000
144,Light Weight Compactor XMR603,XMR603,"Axle load, rear(kg)",3000
145,Light Weight Compactor XMR083,XMR083,Type,walk behind
146,Light Weight Compactor XMR083,XMR083,Operating weight(kg),800
147,Light Weight Compactor XMR083,XMR083,"Axle load, front(kg)",400
148,Light Weight Compactor XMR153,XMR153,Operating weight(kg),1680
149,Light Weight Compactor XMR153,XMR153,"Axle load, front(kg)",840
150,Light Weight Compactor XMR153,XMR153,"Axle load, rear(kg)",840
151,Light Weight Compactor XMR153S,XMR153S,Operating weight(kg),1600
152,Light Weight Compactor XMR153S,XMR153S,"Axle load, front(kg)",800
153,Light Weight Compactor XMR153S,XMR153S,"Axle load, rear(kg)",800
154,Light Weight Compactor XMR203,XMR203,Operating weight(kg),2000
155,Light Weight Compactor XMR203,XMR203,"Axle load, front(kg)",1000
156,Light Weight Compactor XMR203,XMR203,"Axle load, rear(kg)",1000
157,Light Weight Compactor XMR303,XMR303,Operating weight(kg),3000
158,Light Weight Compactor XMR303,XMR303,"Axle load, front(kg)",1500
159,Light Weight Compactor XMR303,XMR303,"Axle load, rear(kg)",1500
160,Light Weight Compactor XMR303S,XMR303S,Operating weight(kg),3180
161,Light Weight Compactor XMR303S,XMR303S,"Axle load, front(kg)",1550
162,Light Weight Compactor XMR303S,XMR303S,"Axle load, rear(kg)",1550
163,Light Weight Compactor XMR303S (North American),XMR303S (North American),Type,man drive
164,Light Weight Compactor XMR303S (North American),XMR303S (North American),Operating weight(kg),3340
165,Light Weight Compactor XMR303S (North American),XMR303S (North American),"Axle load, front(kg)",1480
166,Light Weight Compactor XMR353E,XMR353E,Operating weight(kg),3500
167,Light Weight Compactor XMR353E,XMR353E,"Axle load, front(kg)",1750
168,Light Weight Compactor XMR353E,XMR353E,"Axle load, rear(kg)",1750
169,Light Weight Compactor XMR403,XMR403,Operating weight(kg),4000
170,Light Weight Compactor XMR403,XMR403,"Axle load, front(kg)",2000
171,Light Weight Compactor XMR403,XMR403,"Axle load, rear(kg)",2000
172,Light Weight Compactor XMR403S,XMR403S,Operating weight(kg),4100
173,Light Weight Compactor XMR403S,XMR403S,"Axle load, front(kg)",2050
174,Light Weight Compactor XMR403S,XMR403S,"Axle load, rear(kg)",2050
175,Light Weight Compactor XMR403S (North American),XMR403S (North American),Operating weight(kg),4100
