id,Equipment Type,Model,Theoretical Rated Output,Discharge Height,The Capacity of Aggregate Storage Hopper,Maximum Theorical Output,Maximum Theorical Pressure on Concrete,Rated Power,Power,Maxiumm Vertical Reach,Agitator Capacity,Max. Rotation Speed,Power Rating
150,Trailer Pumps,HBT60.13.118RS,,,,,70/130,,118,,,67/41,
151,Trailer Pumps,HBT60.16.110SU,,,,,90/160bar,,110kW,,,72/44m3/h,
152,Trailer Pumps,HBT80.16.199RSU,,,,,90/160bar,,199kW,,,81/49m3/h,
153,Trailer Pumps,HBT80.16.174RSU,,,,,90/160bar,,174kW,,,81/49m3/h,
154,Trailer Pumps,HBT100.18.199RSU,,,,,100/180,,186/199,,,93/54,
155,Trailer Pumps,HBT100.18.186RSU,,,,,100/180bar,,186/199kW,,,93/54m3/h,
156,Trailer Pumps,HBT105.21.273RSD,,,,,130/210,,286/273,,,105/65,
157,Trailer Pumps,HBT105.21.286RSD,,,,,130/210bar,,286/273kW,,,105/65m3/h,
158,Trailer Pumps,HBT105.21.294RS,,,,,130/210bar,,294kW,,,101/64m3/h,
159,Trailer Pumps,HBT110.26.372RS,,,,,160/260bar,,2×186kW,,,112/73m3/h,
160,Truck Mounted Pumps,24X-4Z（Two-axles）,,,,,60/100bar,,,,,100/60m3/h,
161,Truck Mounted Pumps,32X-4Z,,,,,66bar,,,,,120m3/h,
162,Truck Mounted Pumps,36X-5Z,,,,,70bar,,,,,120m3/h,
163,Truck Mounted Pumps,38X-5RZ（Three-axles）,,,,,70/110bar,,,,,160/100m3/h,
164,Truck Mounted Pumps,38X-5RZ（Two-axles）,,,,,80/150bar,,,,,100/60m3/h,
165,Truck Mounted Pumps,40X-5RZ（Three-axles）,,,,,70/110bar,,,,,160/100m3/h,
166,Truck Mounted Pumps,43X-5RZ（Four-axles）,,,,,70/110bar,,,,,140/90m3/h,
167,Truck Mounted Pumps,47X-5RZ（Three-axles）,,,,,80/120bar,,,,,180/120m3/h,
168,Truck Mounted Pumps,49X-6RZ（Four-axles）,,,,,113bar,,,,,180m3/h,
169,Truck Mounted Pumps,49X-6RZ（Three-axles）,,,,,83/120bar,,,,,180/120m3/h,
170,Truck Mounted Pumps,56X-6RZ（Four-axles）,,,,,113bar,,,,,180m3/h,
171,Truck Mounted Pumps,63X-7RZ（Four-axles）,,,,,113bar,,,,,180m3/h,
172,Truck Mixer,6JBJ-R,,,,,,,210/2300kW/r/min,,6m³,12-16rpm,
173,Truck Mixer,8JBJ-R,,,,,,,250/2200kW/r/min,,8m³,12-16rpm,
174,Truck Mixer,9JBH-R,,,,,,,247/2200kW/r/min,,9m³,12-16rpm,
175,Truck Mixer,10JBH,,,,,,,247/1900kW/r/min,,10m³,12-16rpm,
176,Truck Mixer,12JBJ,,,,,,,257/1900kW/r/min,,12m³,12-16rpm,
177,Batching Plants,HZS180R(Bucket),150m3/h,4m,4×20m3,,,,,,,,
178,Batching Plants,HZS180R(Belt),180m3/h,4m,4×20m3,,,,,,,,
179,Batching Plants,HZS120R(Bucket),100m3/h,4m,4×16m3,,,,,,,,
180,Batching Plants,HZS120R(Belt),120,4,4×16,,,,,,,,
181,Batching Plants,HZS90R(Bucket),75m3/h,4m,3×13m3,,,,,,,,
182,Batching Plants,HZS90R(Belt),90m3/h,4m,3×13m3,,,,,,,,
183,Batching Plants,HZS60P(Belt),50m3/h,4.2m,3×10m3,,,,,,,,
184,Placing Booms,Four-Section,,,,,,,,,,,
185,Placing Booms,Three-Section,,,,,,,,,,,
186,City Pumps,10528R,,,,,28/17Mpa,186/2100kW/(r/min),,,,105/70m3/h,
187,City Pumps,10026R,,,,,26.5/13.5Mpa,247/2200kW/(r/min),,,,100/52m3/h,
188,City Pumps,9024R,,,,,24/13Mpa,199/2300kW/(r/min),,,,90/45m3/h,
189,City Pumps,10022R,,,,,22/12Mpa,186/2100kW/(r/min),,,,100/50m3/h,
190,City Pumps,10020R,,,,,20/11Mpa,199/2300kW/(r/min),,,,100/55m3/h,
191,Trailer Pumps,HBT50.10.60RS,,,,,50/100bar,,60kW,,,49/26m3/h,
192,Trailer Pumps,HBT60.13.90SU,,,,,70/130bar,,90kW,,,67/41m3/h,
193,Trailer Pumps,HBT60.13.118RSD,,,,,70/130,,118,,,67/41,
194,Trailer Pumps,HBT60.13.118RS,,,,,70/130,,118,,,67/41,
195,Trailer Pumps,HBT60.16.110SU,,,,,90/160bar,,110kW,,,72/44m3/h,
196,Trailer Pumps,HBT80.16.199RSU,,,,,90/160bar,,199kW,,,81/49m3/h,
197,Trailer Pumps,HBT80.16.174RSU,,,,,90/160bar,,174kW,,,81/49m3/h,
198,Trailer Pumps,HBT100.18.199RSU,,,,,100/180,,186/199,,,93/54,
199,Trailer Pumps,HBT100.18.186RSU,,,,,100/180bar,,186/199kW,,,93/54m3/h,
200,Trailer Pumps,HBT105.21.273RSD,,,,,130/210,,286/273,,,105/65,
201,Trailer Pumps,HBT105.21.286RSD,,,,,130/210bar,,286/273kW,,,105/65m3/h,
202,Trailer Pumps,HBT105.21.294RS,,,,,130/210bar,,294kW,,,101/64m3/h,
203,Trailer Pumps,HBT110.26.372RS,,,,,160/260bar,,2×186kW,,,112/73m3/h,
204,Truck Mounted Pumps,24X-4Z（Two-axles）,,,,,60/100bar,,,,,100/60m3/h,
205,Truck Mounted Pumps,32X-4Z,,,,,66bar,,,,,120m3/h,
206,Truck Mounted Pumps,36X-5Z,,,,,70bar,,,,,120m3/h,
207,Truck Mounted Pumps,38X-5RZ（Three-axles）,,,,,70/110bar,,,,,160/100m3/h,
208,Truck Mounted Pumps,38X-5RZ（Two-axles）,,,,,80/150bar,,,,,100/60m3/h,
209,Truck Mounted Pumps,40X-5RZ（Three-axles）,,,,,70/110bar,,,,,160/100m3/h,
210,Truck Mounted Pumps,43X-5RZ（Four-axles）,,,,,70/110bar,,,,,140/90m3/h,
211,Truck Mounted Pumps,47X-5RZ（Three-axles）,,,,,80/120bar,,,,,180/120m3/h,
212,Truck Mounted Pumps,49X-6RZ（Four-axles）,,,,,113bar,,,,,180m3/h,
213,Truck Mounted Pumps,49X-6RZ（Three-axles）,,,,,83/120bar,,,,,180/120m3/h,
214,Truck Mounted Pumps,56X-6RZ（Four-axles）,,,,,113bar,,,,,180m3/h,
215,Truck Mounted Pumps,63X-7RZ（Four-axles）,,,,,113bar,,,,,180m3/h,
216,Truck Mixer,6JBJ-R,,,,,,,210/2300kW/r/min,,6m³,12-16rpm,
217,Truck Mixer,8JBJ-R,,,,,,,250/2200kW/r/min,,8m³,12-16rpm,
218,Truck Mixer,9JBH-R,,,,,,,247/2200kW/r/min,,9m³,12-16rpm,
219,Truck Mixer,10JBH,,,,,,,247/1900kW/r/min,,10m³,12-16rpm,
220,Truck Mixer,12JBJ,,,,,,,257/1900kW/r/min,,12m³,12-16rpm,
