id,equipment_name,model,spec_name,spec_value
53,XZ Series Horizontal Directional Drilling Rig XZ400,XZ400,Power rating(kW/r/min),179/2200
54,XZ Series Horizontal Directional Drilling Rig XZ400,XZ400,Max pull/thrust force(kN),400
55,XZ Series Horizontal Directional Drilling Rig XZ360E,XZ360E,Model,"Cummins 
QSB5.9-C210"
56,XZ Series Horizontal Directional Drilling Rig XZ360E,XZ360E,Power rating(kW/r/min),154/2200
57,XZ Series Horizontal Directional Drilling Rig XZ360E,XZ360E,Max pull/thrust force(kN),370
58,XZ Series Horizontal Directional Drilling Rig XZ320E,XZ320E,Model,"Cummins 
QSB5.9-C210"
59,XZ Series Horizontal Directional Drilling Rig XZ320E,XZ320E,Power rating(kW/r/min),154/2200
60,XZ Series Horizontal Directional Drilling Rig XZ320E,XZ320E,Max pull/thrust force(kN),345
61,XZ Series Horizontal Directional Drilling Rig XZ320D,XZ320D,Model,"ummins
QSB5.9-C210"
62,XZ Series Horizontal Directional Drilling Rig XZ320D,XZ320D,Power rating(kW/r/min),154/2200
63,XZ Series Horizontal Directional Drilling Rig XZ320D,XZ320D,Max pull/thrust force(kN),320
64,XZ Series Horizontal Directional Drilling Rig XZ120E,XZ120E,Model,"Cummins 
4BTA3.9-C100"
65,XZ Series Horizontal Directional Drilling Rig XZ120E,XZ120E,Power rating(kW/r/min),74/2200
66,XZ Series Horizontal Directional Drilling Rig XZ120E,XZ120E,Max pull/thrust force(kN),133
