id,model_name,product_family,product_category,Gross Power - SAE J1995:2014,Operating Weight,Gross Power - SAE J1995,Rated Operating Capacities - 35% Tipping Load,Rated Operating Capacity
59,226D3,Skid Steer and Compact Track Loaders,Skid Steer Loaders,67.1 hp,5849 lb,,,1550 lb
60,232D3,Skid Steer and Compact Track Loaders,Skid Steer Loaders,67.1 hp,6514 lb,,,1900 lb
61,236D3,Skid Steer and Compact Track Loaders,Skid Steer Loaders,74.3 hp,6567 lb,,,1800 lb
62,242D3,Skid Steer and Compact Track Loaders,Skid Steer Loaders,74.3 hp,7138 lb,,,2200 lb
63,246D3,Skid Steer and Compact Track Loaders,Skid Steer Loaders,74.3 hp,7478 lb,,,2200 lb
64,262D3,Skid Steer and Compact Track Loaders,Skid Steer Loaders,74.3 hp,8296 lb,,,2700 lb
65,272D3,Skid Steer and Compact Track Loaders,Skid Steer Loaders,98 hp,9133 lb,,,3450 lb
66,272D3 XE,Skid Steer and Compact Track Loaders,Skid Steer Loaders,110 hp,9573 lb,,,3700 lb
67,250,Skid Steer and Compact Track Loaders,Skid Steer Loaders,74 hp,7829 lb,,,2689 lb
68,260,Skid Steer and Compact Track Loaders,Skid Steer Loaders,74 hp,8523 lb,,,3160 lb
69,270,Skid Steer and Compact Track Loaders,Skid Steer Loaders,100 hp,10441 lb,,,3557 lb
